model,variant,n,r2,b_logp,b_logp_se,b_logp_p,b_review,b_review_se,b_review_p,wtp250,wtp250_se,z_vs_base_logp,z_vs_base_review
Qwen3 4B,baseline,1800,0.12912709370609277,-1.5591119205497306,0.13637325030481703,2.8710387141337976e-30,0.7955451899968896,0.10595320277020027,5.9827801114535e-14,127.5638361029891,20.32572471895691,,
Qwen3 4B,json,1800,0.013174396926327492,-0.3948316821493967,0.11403540443780551,0.0005354593746523858,0.32122377630379245,0.09475163425035368,0.0006985029320404945,203.3928575305208,83.96576904162737,6.549408059033123,-3.3369872936147025
Qwen3 4B,reorder,1800,0.1409699480020029,-1.4862025940788608,0.13630017335896724,1.1042838708560552e-27,0.7966857058150867,0.10888508855690847,2.540357471281739e-13,134.01364473947572,22.05743409703051,0.37814229648877923,0.007506961415817953
Qwen3 4B,persona,1800,0.1762856798145972,-1.7917089975055462,0.14408353685105538,1.682985170609152e-35,1.0732510070189742,0.11417605313491122,5.458075326325495e-21,149.7524163400943,19.97064273394401,-1.1724362485679594,1.7828689427331206
Qwen3 4B,cot,1800,0.29577231373005053,-1.9886401446382151,0.1604153185880182,2.71894787149545e-35,0.4482077739618632,0.11764309036918816,0.0001390260520180142,56.34601302431764,15.472066845691083,-2.0400425535106974,-2.1938616827856796
Gemma2 9B,baseline,1800,0.5162042514396843,-5.5557006922836445,0.30083024201214636,3.7441588988831025e-76,1.5597256119764722,0.16381963454241727,1.7153186569934905e-21,70.18581896171924,8.293675212225676,,
Gemma2 9B,json,1800,0.6072353337200006,-7.166960728531228,0.40065981077131907,1.4653974154497953e-71,1.2206580276135213,0.1719316271979723,1.2505401699978063e-12,42.579346875522745,6.452477898798985,-3.2159205811117233,-1.4277655406953624
Gemma2 9B,reorder,1800,0.38213846157506826,-3.784937946798557,0.21441924999476406,9.81398344019871e-70,1.4761962530446913,0.14213934153786964,2.88480038937101e-25,97.50465356329775,10.892885807935901,4.793300993396071,-0.38512644862820977
Gemma2 9B,persona,1800,0.2220196708091544,-2.0051549267032738,0.15098510336899734,3.004544705899496e-40,1.7282033799967786,0.13590761609990012,4.8180804126726955e-37,215.47005632604183,23.45979603263413,10.548460943038892,0.7915098782413098
Gemma2 9B,cot,1800,0.252837967075099,-2.0108505140788706,0.15663491777282454,1.0067248897855348e-37,0.2994260537018769,0.1125993700731715,0.007832271649569547,37.22629449646557,14.296143746530593,10.451678326495445,-6.3400122031782375
Phi-4 Mini,baseline,1800,0.4239256560567958,-0.7975458816291578,0.16157031025047677,7.965306131428156e-07,3.2537955328000177,0.19903152325632936,4.484491874512757e-60,1019.9399206204429,215.83737984725119,,
Phi-4 Mini,json,1800,0.2476343245465601,0.02887095288320891,0.13523875081402162,0.8309515240785891,1.1512112873366664,0.12671461560052455,1.0363096402054108e-19,9968.594490054056,46708.27504158353,3.922244338885478,-8.91132422473456
Phi-4 Mini,reorder,1800,0.42350275586959063,-0.4576324070537889,0.15755949904901032,0.0036783392350979056,2.5732560367389126,0.1744357144123827,2.9917875014118484e-49,1405.7439972976276,493.2792953543412,1.5061967616205725,-2.571437850988998
Phi-4 Mini,persona,1800,0.4828212975077826,-0.8077827084109969,0.17075023690330288,2.2365297835958502e-06,3.434134428470895,0.21343786665163064,3.016773475199727e-58,1062.827414078422,234.17189691002088,-0.043546927968115996,0.6179423256651869
Phi-4 Mini,cot,1800,0.16124317275959665,-1.7310214719015304,0.1411382293485095,1.4008827775130731e-34,1.0166172086826095,0.11481787193833345,8.430715270742256e-19,146.82330999133325,20.452014106043407,-4.351171816296435,-9.736374064823815
Gemma3 27B,baseline,900,0.4351968654622489,-4.121583572064358,0.3402295301186264,8.890622681628796e-34,3.453089783330407,0.29217574959717074,3.130909456101466e-32,209.4516417630757,24.759228720784716,,
Gemma3 27B,json,1800,0.4647367834846572,-3.4082216242648813,0.22085265967355436,9.956762842492028e-54,3.1022706820226253,0.20339210988089673,1.5806072484074806e-52,227.55787504662007,20.976659550898614,1.7586714396725132,-0.9854507276776696
Gemma3 27B,reorder,1800,0.3544077706242602,-2.9941068596973777,0.19737047885719652,5.5891074654574144e-52,2.891748858097458,0.1786661121052463,6.412888329270848e-59,241.4533777186008,21.814830081844075,2.866465032303955,-1.6390773771610327
Gemma3 27B,persona,1800,0.5277490914879497,-1.9015725266719943,0.2082449037777426,6.760407436318032e-20,4.810612455511395,0.27404776551084953,5.551321081330619e-69,632.4518770696862,78.07167692461553,5.565317183411856,3.3888451625580984
GPT-5.4 Nano,baseline,1800,0.537763529937596,-2.567229381612366,0.20939962913087887,1.4858805891643428e-34,4.744088193247403,0.27594647572378134,3.045208356906316e-66,461.98522687791984,46.282537898251775,,
GPT-5.4 Nano,json,1800,0.5245271505224424,-1.9114142226532826,0.19262510912195546,3.307466023565154e-23,4.733501630503845,0.26977372165745256,6.360370762798813e-69,619.1098682855294,71.6778005512995,2.304973570248669,-0.027432928104904376
GPT-5.4 Nano,reorder,1800,0.42444876823879596,-2.0003774268725847,0.17681837672177053,1.1292636394638416e-29,3.72175488222838,0.2146945456562902,2.5555039301461882e-67,465.13158369905955,49.09497065726702,2.068293939186115,-2.924054589794605
GPT-5.4 Nano,persona,1800,0.5716907797348115,-1.75012669350425,0.20290720073796847,6.394904825779693e-18,5.237652492923435,0.3033485284922683,8.464359274772558e-67,748.1819048248685,96.96425872559234,2.8023170683062846,1.2035762945357271
GPT-5.4 Nano,cot,1800,0.5012543926373861,-3.734917177793429,0.2306264315912522,5.499882071984667e-59,4.1978468105235835,0.24347131933499702,1.292975631321536e-66,280.9866063083393,23.804063680249428,-3.748509427666238,-1.4843475236183703
GPT-5.4 Mini,baseline,1800,0.42961753516207934,-4.3390268278708275,0.2391548118013094,1.4539299844776595e-73,3.6851525627382804,0.21154996076852034,5.840710624538316e-68,212.32598396646668,16.897403448810117,,
