model,n_obs,mean_price,median_price,mean_stars,pct_Independent,pct_Hilton,pct_Marriott,pct_IHG,pct_Hyatt,pct_Wyndham
Qwen3 0.6B,3600,341.91583333333335,270.0,3.747777777777778,45.94444444444444,14.583333333333334,20.86111111111111,9.694444444444445,6.75,2.166666666666667
Gemma2 9B,3600,243.3125,223.0,3.464722222222222,42.44444444444444,16.63888888888889,22.027777777777775,10.194444444444445,6.222222222222222,2.4722222222222223
Gemma3 1B,3600,360.89944444444444,280.0,3.8255555555555554,45.58333333333333,15.388888888888888,21.055555555555554,9.555555555555555,6.916666666666667,1.5
Gemma3 4B,3600,339.26416666666665,277.0,3.8325,44.138888888888886,16.694444444444446,21.722222222222225,9.666666666666666,6.861111111111111,0.9166666666666666
Llama3.2 1B,3600,339.1777777777778,268.0,3.7311111111111113,45.666666666666664,14.555555555555555,20.88888888888889,9.777777777777779,6.777777777777779,2.3333333333333335
Llama3.2 3B,3600,363.68444444444447,273.5,3.8580555555555556,46.166666666666664,15.555555555555555,20.38888888888889,9.305555555555555,7.611111111111112,0.9722222222222222
Qwen3 4B,3600,298.27944444444444,239.5,3.6105555555555555,44.94444444444444,15.472222222222223,20.27777777777778,9.972222222222223,6.916666666666667,2.4166666666666665
Qwen3 8B,3600,340.49583333333334,263.0,3.7675,45.666666666666664,14.805555555555555,20.88888888888889,9.916666666666666,6.972222222222222,1.7500000000000002
Gemma3 12B,3600,333.285,269.0,3.7933333333333334,47.55555555555556,16.25,18.97222222222222,9.555555555555555,6.638888888888888,1.027777777777778
Gemma3 27B,3600,296.34,257.5,3.738611111111111,42.69444444444444,17.77777777777778,20.72222222222222,10.472222222222221,7.166666666666667,1.1666666666666667
Qwen3 30B-A3B,3600,361.8588888888889,280.5,3.8408333333333333,47.833333333333336,14.333333333333334,19.916666666666664,9.63888888888889,6.888888888888889,1.3888888888888888
Llama3 8B,3600,326.3977777777778,258.0,3.7119444444444443,45.69444444444444,15.083333333333334,20.22222222222222,9.972222222222223,6.888888888888889,2.138888888888889
Llama3.1 8B,3600,331.7733333333333,260.0,3.7286111111111113,46.52777777777778,14.63888888888889,20.055555555555554,9.805555555555557,6.777777777777779,2.194444444444444
DeepSeek-R1 1.5B,3600,326.1936111111111,253.0,3.7516666666666665,45.80555555555556,14.249999999999998,20.36111111111111,10.38888888888889,6.777777777777779,2.4166666666666665
DeepSeek-R1 7B,3600,365.7936111111111,282.0,3.903888888888889,45.55555555555556,14.972222222222223,20.86111111111111,10.38888888888889,7.5,0.7222222222222222
Mistral 7B,3600,339.2913888888889,268.0,3.7311111111111113,45.666666666666664,14.583333333333334,20.86111111111111,9.75,6.805555555555555,2.3333333333333335
Mistral-Nemo 12B,3600,302.7527777777778,249.0,3.6619444444444444,45.72222222222222,15.388888888888888,19.833333333333332,10.25,6.722222222222222,2.083333333333333
Phi-2 2.7B,1778,391.5179977502812,296.0,3.895950506186727,44.99437570303712,14.0607424071991,20.64116985376828,9.67379077615298,8.773903262092238,1.856017997750281
Phi-3 Mini,3600,384.12,291.0,3.95,46.0,15.333333333333332,20.805555555555554,9.63888888888889,7.222222222222221,1.0
Phi-3 Medium,3600,348.3616666666667,267.5,3.861388888888889,46.69444444444444,15.222222222222223,20.02777777777778,10.305555555555555,6.944444444444445,0.8055555555555556
Phi-4 Mini,3600,392.6072222222222,299.0,3.985,48.19444444444444,14.527777777777779,19.52777777777778,9.583333333333334,7.611111111111112,0.5555555555555556
Phi-4 14B,3600,294.9861111111111,255.0,3.6911111111111112,41.61111111111111,18.055555555555554,22.305555555555557,10.027777777777777,6.805555555555555,1.1944444444444444
GPT-4.1 Nano,3600,360.9769444444444,280.0,3.8955555555555557,48.69444444444444,15.222222222222223,18.0,10.027777777777777,7.249999999999999,0.8055555555555556
GPT-4.1 Mini,3600,258.9033333333333,232.0,3.5716666666666668,43.138888888888886,16.416666666666664,21.833333333333332,10.083333333333332,6.555555555555556,1.972222222222222
GPT-5.4 Nano,3600,346.15722222222223,277.0,3.8325,44.69444444444444,17.5,19.916666666666664,9.75,7.472222222222221,0.6666666666666667
GPT-5.4 Mini,3600,282.90305555555557,247.0,3.6780555555555554,43.94444444444445,16.86111111111111,21.0,10.083333333333332,6.75,1.361111111111111
GPT-5.4,3600,247.07416666666666,227.0,3.513888888888889,41.22222222222222,17.194444444444446,22.333333333333332,10.555555555555555,6.222222222222222,2.4722222222222223
Claude Haiku 4.5,3594,279.4579855314413,243.0,3.6939343350027825,41.040623260990536,17.83528102392877,21.702838063439064,11.101836393989984,7.0116861435726205,1.3077351140790205
