task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price
1,binary,1,1,1,Pod 51,2,Midtown East,7.8,5602,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,89,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2793,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,303,,,,,,,,,,,
2,binary,1,2,1,Pod 51,2,Midtown East,7.7,5133,Full Pod (1 twin bed),1,0,Free WiFi; Air conditioning,96,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2597,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,295,,,,,,,,,,,
5,binary,2,1,1,Pod 51,2,Midtown East,8.0,5244,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,114,42,Virgin Hotels New York City,4,NoMad,8.7,937,Chamber King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,214,,,,,,,,,,,
6,binary,2,2,1,Pod 51,2,Midtown East,7.7,5108,Queen Pod (1 queen bed),1,0,Free WiFi; Air conditioning,99,42,Virgin Hotels New York City,4,NoMad,8.7,1024,Grand Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,282,,,,,,,,,,,
9,binary,3,1,1,Pod 51,2,Midtown East,7.8,4732,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,82,67,Equinox Hotel New York,5,Hudson Yards,8.9,911,King Room (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,783,,,,,,,,,,,
10,binary,3,2,1,Pod 51,2,Midtown East,7.6,4769,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,76,67,Equinox Hotel New York,5,Hudson Yards,8.8,853,Premium King (1 king bed),0,0,Free WiFi; Rooftop pool; Spa; Fitness center; Restaurant,783,,,,,,,,,,,
13,binary,4,1,1,Pod 51,2,Midtown East,7.7,5494,Queen Pod (1 queen bed),0,0,Free WiFi; Air conditioning,112,110,The Westin New York Grand Central,4,Midtown East,8.0,2895,King Room (1 king bed),0,1,Free WiFi; Restaurant; Fitness center; Heavenly Bed,371,,,,,,,,,,,
14,binary,4,2,1,Pod 51,2,Midtown East,7.7,5216,Queen Pod (1 queen bed),1,0,Free WiFi; Air conditioning,79,110,The Westin New York Grand Central,4,Midtown East,8.1,3483,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,327,,,,,,,,,,,
17,binary,5,1,2,Pod 39,3,Murray Hill,8.0,2699,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,106,27,citizenM New York Bowery,4,Lower East Side,8.7,3186,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,241,,,,,,,,,,,
18,binary,5,2,2,Pod 39,3,Murray Hill,8.0,2961,Queen Pod (1 queen bed),1,0,Free WiFi; Rooftop bar; Restaurant,128,27,citizenM New York Bowery,4,Lower East Side,8.7,2811,citizenM King Room (1 king bed),1,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,258,,,,,,,,,,,
